search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
based-on,Communication,based-on,draft,reference,f:Communication/f:basedOn,Communication.basedOn,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Communication.basedOn
category,Communication,category,draft,token,f:Communication/f:category,Communication.category,None,Communication.category
encounter,Communication,encounter,draft,reference,f:Communication/f:encounter,Communication.encounter,Encounter,Communication.encounter
identifier,Communication,identifier,draft,token,f:Communication/f:identifier,Communication.identifier,None,Communication.identifier
instantiates-canonical,Communication,instantiates-canonical,draft,reference,f:Communication/f:instantiatesCanonical,Communication.instantiatesCanonical,Questionnaire|Measure|PlanDefinition|OperationDefinition|ActivityDefinition,Communication.instantiatesCanonical
instantiates-uri,Communication,instantiates-uri,draft,uri,f:Communication/f:instantiatesUri,Communication.instantiatesUri,None,Communication.instantiatesUri
medium,Communication,medium,draft,token,f:Communication/f:medium,Communication.medium,None,Communication.medium
part-of,Communication,part-of,draft,reference,f:Communication/f:partOf,Communication.partOf,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Communication.partOf
patient,Communication,patient,draft,reference,f:Communication/f:subject,Communication.subject,Patient,Communication.subject.where(resolve() is Patient)
received,Communication,received,draft,date,f:Communication/f:received,Communication.received,None,Communication.received
recipient,Communication,recipient,draft,reference,f:Communication/f:recipient,Communication.recipient,Practitioner|Group|Organization|CareTeam|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson,Communication.recipient
sender,Communication,sender,draft,reference,f:Communication/f:sender,Communication.sender,Practitioner|Organization|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson,Communication.sender
sent,Communication,sent,draft,date,f:Communication/f:sent,Communication.sent,None,Communication.sent
status,Communication,status,draft,token,f:Communication/f:status,Communication.status,None,Communication.status
subject,Communication,subject,draft,reference,f:Communication/f:subject,Communication.subject,Group|Patient,Communication.subject
authored,CommunicationRequest,authored,draft,date,f:CommunicationRequest/f:authoredOn,CommunicationRequest.authoredOn,None,CommunicationRequest.authoredOn
based-on,CommunicationRequest,based-on,draft,reference,f:CommunicationRequest/f:basedOn,CommunicationRequest.basedOn,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,CommunicationRequest.basedOn
category,CommunicationRequest,category,draft,token,f:CommunicationRequest/f:category,CommunicationRequest.category,None,CommunicationRequest.category
encounter,CommunicationRequest,encounter,draft,reference,f:CommunicationRequest/f:encounter,CommunicationRequest.encounter,Encounter,CommunicationRequest.encounter
group-identifier,CommunicationRequest,group-identifier,draft,token,f:CommunicationRequest/f:groupIdentifier,CommunicationRequest.groupIdentifier,None,CommunicationRequest.groupIdentifier
identifier,CommunicationRequest,identifier,draft,token,f:CommunicationRequest/f:identifier,CommunicationRequest.identifier,None,CommunicationRequest.identifier
medium,CommunicationRequest,medium,draft,token,f:CommunicationRequest/f:medium,CommunicationRequest.medium,None,CommunicationRequest.medium
occurrence,CommunicationRequest,occurrence,draft,date,f:CommunicationRequest/f:occurrenceDateTime,CommunicationRequest.occurrenceDateTime,None,(CommunicationRequest.occurrence as dateTime)
patient,CommunicationRequest,patient,draft,reference,f:CommunicationRequest/f:subject,CommunicationRequest.subject,Patient,CommunicationRequest.subject.where(resolve() is Patient)
priority,CommunicationRequest,priority,draft,token,f:CommunicationRequest/f:priority,CommunicationRequest.priority,None,CommunicationRequest.priority
recipient,CommunicationRequest,recipient,draft,reference,f:CommunicationRequest/f:recipient,CommunicationRequest.recipient,Practitioner|Group|Organization|CareTeam|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson,CommunicationRequest.recipient
replaces,CommunicationRequest,replaces,draft,reference,f:CommunicationRequest/f:replaces,CommunicationRequest.replaces,CommunicationRequest,CommunicationRequest.replaces
requester,CommunicationRequest,requester,draft,reference,f:CommunicationRequest/f:requester,CommunicationRequest.requester,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,CommunicationRequest.requester
sender,CommunicationRequest,sender,draft,reference,f:CommunicationRequest/f:sender,CommunicationRequest.sender,Practitioner|Organization|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson,CommunicationRequest.sender
status,CommunicationRequest,status,draft,token,f:CommunicationRequest/f:status,CommunicationRequest.status,None,CommunicationRequest.status
subject,CommunicationRequest,subject,draft,reference,f:CommunicationRequest/f:subject,CommunicationRequest.subject,Group|Patient,CommunicationRequest.subject
code,CompartmentDefinition,code,draft,token,f:CompartmentDefinition/f:code,CompartmentDefinition.code,None,CompartmentDefinition.code
resource,CompartmentDefinition,resource,draft,token,f:CompartmentDefinition/f:resource/f:code,CompartmentDefinition.resource.code,None,CompartmentDefinition.resource.code
attester,Composition,attester,draft,reference,f:Composition/f:attester/f:party,Composition.attester.party,Practitioner|Organization|Patient|PractitionerRole|RelatedPerson,Composition.attester.party
author,Composition,author,draft,reference,f:Composition/f:author,Composition.author,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,Composition.author
category,Composition,category,draft,token,f:Composition/f:category,Composition.category,None,Composition.category
confidentiality,Composition,confidentiality,draft,token,f:Composition/f:confidentiality,Composition.confidentiality,None,Composition.confidentiality
context,Composition,context,draft,token,f:Composition/f:event/f:code,Composition.event.code,None,Composition.event.code
encounter,Composition|DeviceRequest|DiagnosticReport|DocumentReference|Flag|List|NutritionOrder|Observation|Procedure|RiskAssessment|ServiceRequest|VisionPrescription,encounter,draft,reference,f:Composition/f:encounter | f:DeviceRequest/f:encounter | f:DiagnosticReport/f:encounter | f:DocumentReference/f:context/f:encounter | f:Flag/f:encounter | f:List/f:encounter | f:NutritionOrder/f:encounter | f:Observation/f:encounter | f:Procedure/f:encounter | f:RiskAssessment/f:encounter | f:ServiceRequest/f:encounter | f:VisionPrescription/f:encounter,Composition.encounter | DeviceRequest.encounter | DiagnosticReport.encounter | DocumentReference.context.encounter | Flag.encounter | List.encounter | NutritionOrder.encounter | Observation.encounter | Procedure.encounter | RiskAssessment.encounter | ServiceRequest.encounter | VisionPrescription.encounter,Encounter|EpisodeOfCare,Composition.encounter | DeviceRequest.encounter | DiagnosticReport.encounter | DocumentReference.context.encounter | Flag.encounter | List.encounter | NutritionOrder.encounter | Observation.encounter | Procedure.encounter | RiskAssessment.encounter | ServiceRequest.encounter | VisionPrescription.encounter
entry,Composition,entry,draft,reference,f:Composition/f:section/f:entry,Composition.section.entry,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Composition.section.entry
